lower_layer_super_output_areas_code,lower_layer_super_output_areas,aged_15_years_and_under,aged_16_to_24_years,aged_25_to_34_years,aged_35_to_49_years,aged_50_years_and_over
E01000842,Camden 011A,211,78,283,366,494
E01000843,Camden 014A,154,89,275,291,387
E01000844,Camden 011B,312,115,318,480,411
E01000845,Camden 014B,265,103,332,371,429
E01000846,Camden 014C,303,194,178,293,485
E01000847,Camden 014D,305,245,236,333,480
E01000848,Camden 011C,239,99,294,392,463
E01000849,Camden 011D,186,102,319,365,388
E01000850,Camden 026A,72,445,358,243,307
E01000851,Camden 026B,81,638,285,220,254
E01000853,Camden 029H,168,227,239,233,538
E01000855,Camden 028A,89,275,336,235,372
E01000856,Camden 019A,230,286,345,318,412
E01000857,Camden 018A,217,135,244,293,504
E01000858,Camden 018B,282,334,428,353,535
E01000859,Camden 018C,228,121,287,312,515
E01000860,Camden 018D,145,60,180,169,566
E01000861,Camden 019B,113,242,365,292,354
E01000862,Camden 018E,273,149,338,398,526
E01000863,Camden 021A,149,308,415,309,297
E01000866,Camden 009A,312,248,379,389,621
E01000867,Camden 015C,225,343,428,351,388
E01000868,Camden 015D,378,236,376,351,403
E01000869,Camden 015E,249,363,439,410,484
E01000870,Camden 009B,254,181,343,316,507
E01000871,Camden 005A,312,179,272,362,530
E01000872,Camden 005B,249,172,432,451,433
E01000873,Camden 005C,264,173,335,383,427
E01000874,Camden 005D,266,127,264,376,446
E01000875,Camden 013A,196,165,473,376,360
E01000876,Camden 013B,321,232,534,373,465
E01000877,Camden 005E,242,139,320,395,362
E01000878,Camden 004A,351,117,311,430,505
E01000879,Camden 004B,238,106,216,353,387
E01000880,Camden 004C,284,111,213,359,445
E01000881,Camden 008A,259,134,343,339,313
E01000882,Camden 008B,273,105,264,392,418
E01000883,Camden 008C,209,190,351,428,330
E01000884,Camden 004D,316,133,165,339,518
E01000885,Camden 004E,230,117,107,246,580
E01000886,Camden 006A,197,103,225,294,511
E01000887,Camden 006B,184,143,355,298,409
E01000888,Camden 006C,275,118,227,342,507
E01000889,Camden 007A,333,233,312,355,535
E01000890,Camden 007B,274,133,212,226,472
E01000891,Camden 007C,267,208,306,291,413
E01000892,Camden 006D,301,212,347,414,517
E01000893,Camden 002A,202,115,187,312,560
E01000894,Camden 002B,252,71,172,310,466
E01000895,Camden 002C,220,148,289,350,545
E01000896,Camden 002D,249,104,224,340,519
E01000897,Camden 008D,355,100,205,426,469
E01000898,Camden 008E,225,109,392,375,485
E01000899,Camden 002E,273,98,176,369,644
E01000900,Camden 012A,267,234,357,340,491
E01000901,Camden 007D,486,276,344,434,429
E01000902,Camden 012B,265,208,254,258,429
E01000903,Camden 006E,221,137,274,306,472
E01000904,Camden 012C,295,324,421,416,610
E01000905,Camden 012D,370,322,301,380,500
E01000906,Camden 012E,194,119,377,387,367
E01000907,Camden 001A,295,149,217,334,487
E01000908,Camden 001B,215,169,217,302,620
E01000909,Camden 001C,241,133,223,290,660
E01000910,Camden 003A,222,125,202,267,524
E01000911,Camden 003B,247,176,202,293,520
E01000912,Camden 001D,244,193,276,312,562
E01000913,Camden 001E,222,138,191,294,759
E01000914,Camden 028B,111,346,311,237,417
E01000915,Camden 027A,275,286,240,326,403
E01000916,Camden 027B,188,360,433,368,504
E01000917,Camden 027C,292,194,305,316,545
E01000918,Camden 028C,140,520,298,277,557
E01000919,Camden 028D,120,317,291,273,438
E01000920,Camden 027D,166,247,354,322,534
E01000921,Camden 003C,246,202,517,462,450
E01000922,Camden 007E,260,412,451,402,395
E01000923,Camden 003D,198,147,293,303,506
E01000924,Camden 009C,199,182,436,346,407
E01000925,Camden 009D,321,262,217,273,422
E01000926,Camden 009E,239,255,336,312,330
E01000927,Camden 007F,210,199,324,334,470
E01000928,Camden 003E,277,185,356,382,511
E01000929,Camden 020A,418,282,299,413,504
E01000930,Camden 020B,357,212,440,435,642
E01000931,Camden 013C,384,213,440,507,515
E01000932,Camden 013D,184,209,493,440,434
E01000933,Camden 020C,258,199,474,378,463
E01000934,Camden 020D,253,190,252,307,511
E01000935,Camden 020E,331,194,262,359,451
E01000937,Camden 029G,76,504,193,142,204
E01000938,Camden 029A,174,295,313,295,289
E01000939,Camden 029B,217,386,269,275,300
E01000941,Camden 029D,211,161,209,234,380
E01000942,Camden 029C,61,329,221,152,250
E01000943,Camden 029F,46,939,183,163,254
E01000944,Camden 023A,232,326,252,236,419
E01000946,Camden 021B,249,238,324,306,435
E01000947,Camden 021C,167,439,411,302,347
E01000948,Camden 021D,224,217,288,273,529
E01000949,Camden 023C,288,213,249,372,479
E01000951,Camden 023E,337,283,271,274,371
E01000952,Camden 022A,278,406,306,275,423
E01000954,Camden 022C,440,322,243,339,409
E01000955,Camden 022D,258,249,196,235,408
E01000956,Camden 022E,273,327,300,300,305
E01000957,Camden 019C,161,164,347,301,347
E01000958,Camden 019D,398,1022,560,498,462
E01000959,Camden 019E,259,403,313,297,419
E01000960,Camden 017A,304,212,481,465,407
E01000961,Camden 017B,355,223,314,413,487
E01000962,Camden 016A,200,136,451,408,346
E01000963,Camden 017C,371,212,341,500,496
E01000964,Camden 016B,277,196,338,426,491
E01000965,Camden 016C,295,157,467,413,388
E01000966,Camden 016D,281,118,411,419,386
E01000967,Camden 017D,302,134,227,347,529
E01000968,Camden 016E,181,116,470,347,356
E01000969,Camden 010A,217,195,519,503,396
E01000970,Camden 010B,140,95,521,382,271
